id,service_id,taxonomy_id,taxonomy_detail
103,6.47772E+14,6.47772E+14,
104,6.51504E+14,6.51504E+14,
105,6.51504E+14,6.51504E+14,
106,6.57179E+14,6.57179E+14,
107,6.6873E+14,6.6873E+14,
108,6.66407E+14,6.66407E+14,
109,6.66407E+14,6.66407E+14,
110,6.6721E+14,6.6721E+14,
111,6.05774E+14,6.05774E+14,
112,6.13307E+14,6.13307E+14,
113,6.15977E+14,6.15977E+14,
114,6.15977E+14,6.15977E+14,
115,6.1415E+14,6.1415E+14,
116,6.36134E+14,6.36134E+14,
117,6.37113E+14,6.37113E+14,
118,6.37113E+14,6.37113E+14,
119,6.37918E+14,6.37918E+14,
120,6.44091E+14,6.44091E+14,
121,6.44621E+14,6.44621E+14,
122,6.74557E+14,6.74557E+14,
123,6.19923E+14,6.19923E+14,
124,6.27761E+14,6.27761E+14,
125,6.39468E+14,6.39468E+14,
126,6.42601E+14,6.42601E+14,
127,6.46396E+14,6.46396E+14,
128,6.44648E+14,6.44648E+14,
129,6.44648E+14,6.44648E+14,
130,6.51209E+14,6.51209E+14,
131,6.53156E+14,6.53156E+14,
132,6.71724E+14,6.71724E+14,
133,6.71724E+14,6.71724E+14,
134,6.72042E+14,6.72042E+14,
135,6.70644E+14,6.70644E+14,
136,6.78882E+14,6.78882E+14,
137,6.85822E+14,6.85822E+14,
138,6.8814E+14,6.8814E+14,
139,6.34029E+14,6.34029E+14,
140,6.35137E+14,6.35137E+14,
141,6.4161E+14,6.4161E+14,
142,6.47233E+14,6.47233E+14,
143,6.47808E+14,6.47808E+14,
144,6.48224E+14,6.48224E+14,
145,6.47362E+14,6.47362E+14,
146,6.56906E+14,6.56906E+14,
147,6.62348E+14,6.62348E+14,
148,6.62348E+14,6.62348E+14,
149,6.62348E+14,6.62348E+14,
150,6.58231E+14,6.58231E+14,
151,6.65682E+14,6.65682E+14,
152,6.73535E+14,6.73535E+14,
153,6.79831E+14,6.79831E+14,
154,6.79831E+14,6.79831E+14,
155,6.79831E+14,6.79831E+14,
156,6.80053E+14,6.80053E+14,
157,6.81767E+14,6.81767E+14,
158,6.81767E+14,6.81767E+14,
159,6.82308E+14,6.82308E+14,
160,6.82308E+14,6.82308E+14,
161,6.8553E+14,6.8553E+14,
162,6.88872E+14,6.88872E+14,
163,6.95948E+14,6.95948E+14,
164,6.99058E+14,6.99058E+14,
165,6.99918E+14,6.99918E+14,
166,6.99918E+14,6.99918E+14,
167,6.99918E+14,6.99918E+14,
168,6.99918E+14,6.99918E+14,
169,7.05772E+14,7.05772E+14,
170,7.05772E+14,7.05772E+14,
171,7.13046E+14,7.13046E+14,
